,precision,recall,f1-score,support
0,0.8622202720491443,0.9101435849930524,0.8855340243352862,2159.0
1,0.8703703703703703,0.8703703703703703,0.8703703703703703,108.0
2,0.8287292817679558,0.8068854222700377,0.8176614881439084,1859.0
3,0.626615969581749,0.7650882079851439,0.6889632107023411,1077.0
4,0.8363047001620746,0.7462039045553145,0.788689338937715,1383.0
5,0.6583229036295369,0.5411522633744856,0.5940146809712027,972.0
6,0.8117326057298773,0.7569974554707379,0.783410138248848,786.0
7,0.6419753086419753,0.4369747899159664,0.52,238.0
8,0.35294117647058826,0.11538461538461539,0.17391304347826086,52.0
9,0.4,0.23529411764705882,0.2962962962962963,17.0
10,0.3333333333333333,0.05,0.08695652173913043,20.0
11,0.3793103448275862,0.21568627450980393,0.275,51.0
12,0.32727272727272727,0.15,0.2057142857142857,120.0
13,0.3333333333333333,0.14285714285714285,0.2,14.0
14,0.3333333333333333,0.2,0.25,10.0
15,0.3333333333333333,0.06493506493506493,0.10869565217391304,77.0
16,0.45962732919254656,0.18829516539440203,0.26714801444043323,393.0
17,0.3333333333333333,0.13756613756613756,0.1947565543071161,189.0
18,0.3333333333333333,0.043478260869565216,0.07692307692307693,23.0
19,0.6793478260869565,0.17768301350390903,0.28169014084507044,1407.0
20,0.6704545454545454,0.04331864904552129,0.08137931034482758,1362.0
21,0.8212862834376778,0.7758064516129032,0.7978988111694775,1860.0
22,0.8250460405156538,0.7320261437908496,0.7757575757575758,612.0
23,0.30434782608695654,0.2641509433962264,0.2828282828282828,159.0
24,0.7455357142857143,0.65234375,0.6958333333333333,256.0
25,0.6375617792421746,0.55049786628734,0.5908396946564886,703.0
26,0.7837127845884413,0.7495812395309883,0.7662671232876712,1194.0
27,0.7795071335927367,0.6532608695652173,0.7108219988172679,920.0
28,0.7952380952380952,0.8,0.7976119402985075,835.0
29,0.8463611859838275,0.8650137741046832,0.8555858310626703,363.0
30,0.8586387434554974,0.44565217391304346,0.5867620751341681,368.0
31,0.8105548037889039,0.7122473246135553,0.7582278481012659,841.0
32,1.0,0.08823529411764706,0.16216216216216217,34.0
33,0.7676623992413466,0.8384256861729674,0.8014851485148515,1931.0
34,0.3833718244803695,0.36403508771929827,0.3734533183352081,456.0
35,0.8443243243243244,0.7575169738118331,0.7985685071574642,1031.0
36,0.775377969762419,0.5342261904761905,0.6325991189427312,672.0
37,0.7223451327433629,0.6725025746652935,0.6965333333333333,971.0
38,0.5774647887323944,0.328,0.41836734693877553,250.0
39,0.591726618705036,0.18608597285067874,0.28313253012048195,1768.0
40,0.7424242424242424,0.09176029962546817,0.16333333333333333,534.0
41,1.0,0.02608695652173913,0.05084745762711865,115.0
42,0.8888888888888888,0.015779092702169626,0.031007751937984496,507.0
43,0.16666666666666666,0.009708737864077669,0.01834862385321101,103.0
44,0.7884057971014493,0.6296296296296297,0.7001287001287001,432.0
45,0.8199112238427394,0.3527004909983633,0.4932290673278657,3666.0
46,0.8629629629629629,0.848816029143898,0.8558310376492194,549.0
47,0.9318181818181818,0.803921568627451,0.8631578947368421,51.0
48,0.873015873015873,0.7891832229580574,0.8289855072463768,906.0
49,0.0,0.0,0.0,32.0
